type_from,type_to,inst_from,inst_to,inst_key
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO FALABELLA S.A.,BANCO FALABELLA S.A.,96
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO GNB SUDAMERIS,BANCO GNB SUDAMERIS,97
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BANCO PICHINCHA S,A,",BANCO PICHINCHA S.A.,98
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO PICHINCHA S.A.,BANCO PICHINCHA S.A.,98
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO POPULAR,BANCO POPULAR,99
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO SANTANDER,BANCO SANTANDER,100
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BANCO SERFINANSA S,A",BANCO SERFINANSA S.A,101
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO SERFINANSA S.A,BANCO SERFINANSA S.A,101
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BANCO W S,A,",BANCO W S.A.,102
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCO W S.A.,BANCO W S.A.,102
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCOLOMBIA,BANCOLOMBIA,103
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BANCOMPARTIR S,A,",BANCOMPARTIR S.A.,104
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCOMPARTIR S.A.,BANCOMPARTIR S.A.,104
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BANCOOMEVA,BANCOOMEVA,105
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BBVA COLOMBIA,BBVA COLOMBIA,106
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"BCSC S,A,",BCSC S.A.,107
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,BCSC S.A.,BCSC S.A.,107
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,CITIBANK,CITIBANK,108
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,COLPATRIA RED MULTIBANCA,COLPATRIA RED MULTIBANCA,109
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,COOPCENTRAL,COOPCENTRAL,110
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,"CREDIFINANCIERA S,A,",CREDIFINANCIERA S.A.,111
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,CREDIFINANCIERA S.A.,CREDIFINANCIERA S.A.,111
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,DAVIVIENDA,DAVIVIENDA,112
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,FINANDINA,FINANDINA,113
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,ITAU,ITAU,114
ESTABLECIMIENTOS BANCARIOS,ESTABLECIMIENTOS BANCARIOS,MUNDO MUJER,MUNDO MUJER,115
